GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000082431	2.02198678326661	0.0284773114666663	0.0363357034796447	0.764624068124767	0.444495433058646	NA
ENSMUSG00000097448	4.05986668635429	0.0210397466142506	0.0456754500983617	0.449182986907298	0.653299659315735	NA
ENSMUSG00000141391	3.7340922815189	0.0313696003246755	0.0443109918530671	0.695368407931239	0.48682445368585	NA
ENSMUSG00000090222	3.74335856993364	-0.0168076552902752	0.0473528109792916	-0.362991673077323	0.716611104637819	NA
ENSMUSG00000142575	3.71259767181902	-0.00379405003001836	0.0480722693186227	-0.079126506612665	0.936932000379825	NA
ENSMUSG00000086264	5.2844570514235	0.00718871512499704	0.0554185988142038	0.128751189510401	0.89755452908496	NA
ENSMUSG00000092627	5.3347084446765	-0.0193240444317742	0.0561608428168428	-0.349388098638313	0.72679796695664	NA
ENSMUSG00000097261	6.67549796412974	0.0448842976658955	0.0591782934938196	0.7444393406582	0.456610726097115	NA
ENSMUSG00000101214	7.15720554762876	-0.00198855034137763	0.0619749884832051	-0.0320132681963162	0.974461469830775	NA
ENSMUSG00000120043	1.80945436713803	-0.0313409720647151	0.0324263377414702	-1.12173090756969	0.261976870960977	NA
ENSMUSG00000135126	2.41772999102372	-0.00906520800942353	0.0389182177255096	-0.237821164233589	0.812019802867917	NA
ENSMUSG00000135718	9.21768827417248	0.0851698817593984	0.0704838477637142	1.1828562065572	0.236866140335225	NA
ENSMUSG00000139159	2.63952382837387	0.0108759791894855	0.0375791475318661	0.285641922545792	0.775152391039817	NA
ENSMUSG00000099556	9.32438978494238	0.018228055701258	0.0688133863502932	0.262721250024487	0.792765436831391	NA
ENSMUSG00000086593	3.66314047534733	0.00993067110515126	0.0454134806240182	0.215463073574856	0.829406298948211	NA
ENSMUSG00000120842	3.58089539669454	0.0227362380220267	0.0450054121249866	0.494382131468936	0.621036330916062	NA
ENSMUSG00000101483	2.06333797774374	-0.000344922253480915	0.0339116621053156	-0.0102204721582672	0.991845385030248	NA
ENSMUSG00000098145	3.85196249124102	-0.0395494944383341	0.0452682074912346	-0.948812047858741	0.342716213212359	NA
ENSMUSG00000102408	4.03992299913253	0.0397884737661577	0.0489564484197204	0.794696416138184	0.426790117588679	NA
ENSMUSG00000103686	5.57768287475168	-0.0232701324592866	0.0547322566475788	-0.434691227044428	0.66378656713969	NA
ENSMUSG00000073737	4.38047321262378	0.00636281128627556	0.0503716376754761	0.125738076127111	0.899939260652491	NA
ENSMUSG00000099875	3.00776737582891	0.00219105627972555	0.04366790791747	0.0501394729805549	0.96001124439059	NA
ENSMUSG00000133748	2.00814498347789	0.00156614193043664	0.0361822150950474	0.043266291657163	0.965489261408677	NA
ENSMUSG00000135201	4.17163500864336	-0.0153342341266272	0.0508135527708533	-0.306874888172518	0.758938603771679	NA
ENSMUSG00000099492	5.35823490563604	0.0187498680291771	0.0538050133330388	0.343887514480235	0.730930881881003	NA
ENSMUSG00000127937	3.09777183561007	9.97852984724958e-05	0.042779627085274	0.00234864606063385	0.998126053292255	NA
ENSMUSG00000128372	7.5517836017725	0.0404450277903479	0.0655606323858496	0.607068419286139	0.543805507326774	NA
ENSMUSG00000099997	6.87049923551462	0.0310774981450153	0.0613970735846735	0.499728202503136	0.617266471403516	NA
ENSMUSG00000104257	2.69708215964693	0.0220122488449955	0.0386380905213268	0.559905312552995	0.575544024920385	NA
ENSMUSG00000103209	5.51056996000728	-0.0580057434254548	0.0553511319934575	-1.12216528549325	0.261792169678541	NA
ENSMUSG00000104027	3.32242092416024	-0.0729309923741647	0.0448886662773239	-1.84782446307768	0.0646277407787948	NA
ENSMUSG00000102407	6.44698532573558	-0.0324528430761267	0.0606269634734186	-0.549170692257189	0.582888315242881	NA
